Species,Number,Detector.ID,Date,Time,Latitude,Longitude
Pipistrellus pipistrellus,1,d6,19/08/2018,21:32:58,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:33:03,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:34:09,55.0269,-6.821783333
Pipistrellus pipistrellus,2,d6,19/08/2018,21:34:14,55.0269,-6.821783333
Pipistrellus pipistrellus,2,d6,19/08/2018,21:34:21,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:35:05,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:35:10,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:35:21,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:37:38,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:37:41,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:38:29,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:39:12,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:39:51,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:40:51,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:41:31,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:41:50,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:41:56,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:44:43,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:45:25,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:45:57,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:46:02,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:46:14,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:46:20,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:46:27,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:46:44,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:46:48,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:46:53,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:47:01,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,19/08/2018,21:47:49,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,19/08/2018,21:48:27,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:48:34,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,19/08/2018,21:48:34,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:48:34,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:48:43,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:48:48,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:48:48,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:49:01,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:50:00,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:50:28,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:51:07,55.0269,-6.821783333
Pipistrellus pipistrellus,2,d6,19/08/2018,21:51:10,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,19/08/2018,21:51:14,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,19/08/2018,21:52:15,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:52:27,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:52:41,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:52:53,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,19/08/2018,21:53:17,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:54:22,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:54:28,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:54:55,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:55:24,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:55:29,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:56:29,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:57:22,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,21:58:34,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:58:50,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,21:59:57,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,22:00:18,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:04:50,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,22:04:55,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,22:05:00,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,22:08:50,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,22:13:43,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,22:13:55,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,22:13:59,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,22:14:00,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,22:14:08,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,22:14:14,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,22:17:27,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:21:23,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:21:51,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:21:53,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:22:04,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:22:09,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:22:12,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:22:15,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:22:21,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:22:26,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,19/08/2018,22:22:39,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:22:47,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,22:25:47,55.0269,-6.821783333
Nyctalus leisleri,1,d6,19/08/2018,22:25:59,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:29:24,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:29:32,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:29:40,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:29:47,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:29:52,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:30:09,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:30:17,55.0269,-6.821783333
Pipistrellus pipistrellus,1,d6,19/08/2018,22:30:32,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,19/08/2018,22:30:38,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,19/08/2018,22:30:51,55.0269,-6.821783333
Pipistrellus pygmaeus,1,d6,19/08/2018,22:30:58,55.0269,-6.821783333
